CheckingStatus;LoanDuration;CreditHistory;LoanPurpose;LoanAmount;ExistingSavings;EmploymentDuration;InstallmentPercent;Sex;OthersOnLoan;CurrentResidenceDuration;OwnsProperty;Age;InstallmentPlans;Housing;ExistingCreditsCount;Job;Dependents;Telephone;ForeignWorker;Risk
0_to_200;٣١;credits_paid_to_date;other;١٨٨٩;100_to_500;less_1;٣;female;none;٣;savings_insurance;٣٢;none;own;١;skilled;١;none;yes;No Risk
less_0;١٨;credits_paid_to_date;car_new;٤٦٢;less_100;1_to_4;٢;female;none;٢;savings_insurance;٣٧;stores;own;٢;skilled;١;none;yes;No Risk
less_0;١٥;prior_payments_delayed;furniture;٢٥٠;less_100;1_to_4;٢;male;none;٣;real_estate;٢٨;none;own;٢;skilled;١;yes;no;No Risk
0_to_200;٢٨;credits_paid_to_date;retraining;٣٦٩٣;less_100;greater_7;٣;male;none;٢;savings_insurance;٣٢;none;own;١;skilled;١;none;yes;No Risk
no_checking;٢٨;prior_payments_delayed;education;٦٢٣٥;500_to_1000;greater_7;٣;male;none;٣;unknown;٥٧;none;own;٢;skilled;١;none;yes;Risk
no_checking;٣٢;outstanding_credit;vacation;٩٦٠٤;500_to_1000;greater_7;٦;male;co-applicant;٥;unknown;٥٧;none;free;٢;skilled;٢;yes;yes;Risk
no_checking;٩;prior_payments_delayed;car_new;١٠٣٢;100_to_500;4_to_7;٣;male;none;٤;savings_insurance;٤١;none;own;١;management_self-employed;١;none;yes;No Risk
less_0;١٦;credits_paid_to_date;vacation;٣١٠٩;less_100;4_to_7;٣;female;none;١;car_other;٣٦;none;own;٢;skilled;١;none;yes;No Risk
0_to_200;١١;credits_paid_to_date;car_new;٤٥٥٣;less_100;less_1;٣;female;none;٣;savings_insurance;٢٢;none;own;١;management_self-employed;١;none;yes;No Risk
no_checking;٣٥;outstanding_credit;appliances;٧١٣٨;500_to_1000;greater_7;٥;male;co-applicant;٤;unknown;٤٩;none;free;٢;skilled;٢;yes;yes;Risk
less_0;٥;all_credits_paid_back;car_new;١٥٢٣;less_100;unemployed;٢;female;none;٢;real_estate;١٩;none;rent;١;management_self-employed;١;none;yes;No Risk
